,pi_q,pi_e,hiato,de,pi_star_usd,pi_agr_usd,pi_met_usd,de_fim,pi_star_usd_fim,ipca_12m,rr_2a,rr_10a,g_rr,g_rr_fim,selic,selic_fim,pi_e_2a,pi_bcb,pi_is_q,pi_ia_q,pi_ii_q,pi_im_q,wq_is,wq_ia,wq_ii,wq_im,meta_12m,meta_24m,completo
2011Q4,1.456997179999986,5.5485483870967744,0.93,9.63792664764846,-8.499980980391086,-6.883543253079516,-16.01326736987021,1.1474041489350717,-10.19537434459341,6.5,4.518585499508197,5.602165348032787,-1.0835798485245896,-0.7054679100000003,11.434782608695652,11.0,5.033721931509574,4.7,1.9018313747000137,2.7830667500000184,0.5810566048000121,0.9226313597999969,0.351333,0.150808,0.22669999999999998,0.271159,4.5,4.5,True
2012Q1,1.224646292000009,5.332380952380952,0.98,-1.73749428030745,0.5306622940906891,0.6083478833827094,5.818580357661851,-2.904555301900502,2.7133312320592573,5.24,4.18135209016129,5.36680443967742,-1.1854523495161295,-1.1642927699999999,10.401098901098901,9.75,5.119326293145598,5.4,2.8451532499999876,0.8611605715999948,-0.35962509879999827,0.9125381995999771,0.34185039295275066,0.15101105707739954,0.2626978388848722,0.24444071108497759,4.5,4.5,True
2012Q2,1.083105843199994,5.4964516129032255,1.02,10.395639986762395,-8.97988640609908,-9.264471464816726,-8.172583427467028,10.375118669711924,-12.184266862524762,4.92,3.4169420862903226,4.534792577258064,-1.1178504909677414,-1.39270271,8.978021978021978,8.5,5.367048199421519,4.9,1.4966482992000207,2.134895478199983,0.03332094560000165,0.9426912560000167,0.3429479423123461,0.15163509018945887,0.26148743107541356,0.24392953642278145,4.5,4.5,True
2012Q3,1.416561049100018,5.58796875,1.18,3.242283121139855,4.992192982673593,6.86388534161777,-2.682978435753025,0.45904471141701153,10.609868076836637,5.28,2.7475651355555555,4.189020761904762,-1.4414556263492062,-1.46625176,7.885869565217392,7.5,5.273757807152636,5.1,1.8004187421000184,3.415710526999982,0.4805208757999946,0.6212077410000072,0.34597261610953556,0.15378738485046062,0.2574079703681186,0.24283202867188536,4.5,4.5,True
2012Q4,1.9929689660000083,5.429677419354839,1.44,1.4075347620226886,0.11812513186058027,-2.23311921445406,6.6590567434371195,0.6332708137209542,-0.9905592252416717,5.84,1.9242313311864405,3.617973063559322,-1.6937417323728814,-1.8540690700000002,7.2771739130434785,7.25,5.4312881146364616,5.1,2.3272569836000123,3.272373302000009,1.6183088375000043,1.123961455000022,0.34632046320463206,0.15677856778567786,0.255649556495565,0.24125141251412516,4.5,4.5,True
2013Q1,1.9420462519999848,5.5115,1.71,-2.9546032693002933,-0.43776172889034015,-1.0673533669726787,2.3908949372644983,-1.464053952281752,-2.335737056240994,6.59,2.4102838052542372,3.768353524915254,-1.358069719661017,-1.2174081499999998,7.25,7.25,5.481252452657995,5.2,2.4977630960000052,5.577170983200008,1.8003170240000088,-1.0710096508000033,0.34961065038934963,0.16150383849616154,0.25533874466125533,0.23354676645323358,4.5,4.5,True
2013Q2,1.1844322910000038,5.58873015873016,1.99,3.4268847082765674,-5.787010698791573,-4.635563416691024,-13.699631523331313,9.549976267743432,-5.848140450185646,6.7,3.392471721746032,4.522971665396826,-1.1304999436507939,-1.0573678800000001,7.6291208791208796,8.0,5.6567873711200205,5.2,1.750083353600007,0.7864080199999846,0.7112951225000108,1.1040118298000223,0.3494975535171253,0.16328985697100118,0.254612217714476,0.2326003717973974,4.5,4.5,True
2013Q3,0.6210172520000112,5.973939393939394,2.22,10.14430344470999,-2.8391305525221178,-3.2919580724872333,-1.0784166510442006,0.6478338295215713,-0.5609142986414462,5.86,4.3236440733846155,5.407656639692307,-1.0840125663076918,-1.1907958999999995,8.625,9.0,5.642546616057909,5.6,1.8816761919999925,-1.097197744599987,0.6007186100000173,-0.020531388800004713,0.3541916458083542,0.16014383985616015,0.25385874614125387,0.23180576819423182,4.5,4.5,True
2013Q4,2.043318317600007,6.14421875,2.42,-0.6382807875334295,0.5362634348340833,-0.6279942796402871,2.0327083529908307,4.925983818160984,-0.25460029954755825,5.91,4.841740412622951,6.072321495901639,-1.2305810832786888,-1.4207055099999994,9.63586956521739,10.0,5.557419254791242,5.6,2.3469912080000155,2.286113657300004,1.9625927119999886,1.5363201152000183,0.35531213187279126,0.16013496080976486,0.25433752602515614,0.23021538129228775,4.5,4.5,True
2014Q1,2.1752379140000055,6.060491803278689,2.37,3.9566873363464206,3.5390076692324968,4.418511701202732,-0.8058135751887185,-3.457005700223692,6.533484361784669,6.15,5.552858857049181,6.6884797970491805,-1.13562094,-0.97636448,10.508333333333333,10.75,5.654583880342456,5.8,2.8245305251999753,3.579244113999991,1.6994936204000055,0.7613636959999948,0.3563082184589077,0.16024319878400609,0.2542727286363568,0.22917585412072938,4.5,4.5,True
