,persistencia,ancora_real,meta,desvio_expectativa,total,residuo
2015Q4,12.318542249665715,0.8413456317582823,0.7833247389509375,0.6556189677416803,14.25,-0.3488315881166155
2016Q1,11.769471659988698,0.8321247153205271,0.7833247389509375,0.6587674210594001,14.25,0.2063114646804376
2016Q2,11.769471659988698,0.817212117019537,0.7833247389509375,0.47130335864681744,14.25,0.40868812539400956
2016Q3,11.769471659988698,0.7957364363062761,0.7833247389509375,0.27517467885365693,14.25,0.6262924859004304
2016Q4,11.769471659988698,0.7669271661458935,0.7833247389509375,0.1260276383478334,13.916666666666666,0.47091546323330213
2017Q1,11.274534145521665,0.7324300626491143,0.7833247389509375,0.04900473188937526,12.5,-0.3392936790110923
2017Q2,9.390677944907578,0.6979409000095399,0.7833247389509375,0.0234517349456088,10.916666666666666,0.021271347853002
2017Q3,7.973144753640096,0.662298018777595,0.7833247389509375,-0.056730204310803375,8.916666666666666,-0.44537064039115926
2017Q4,6.046753787224228,0.6292069226742538,0.7833247389509375,-0.15414579786631136,7.333333333333333,0.028193682350226013
2018Q1,5.013570008730659,0.5967549404319121,0.7833247389509375,-0.14759664806630574,6.75,0.5039469599527973
2018Q2,5.190663478799682,0.562941134880788,0.7833247389509375,-0.09054918109340321,6.5,0.0536198284619962
2018Q3,5.203809755723319,0.5311584254545352,0.7833247389509375,-0.2109482354469677,6.5,0.19265531531817626
2018Q4,5.368530932626424,0.5012594889345507,0.7833247389509375,-0.18705154744257352,6.5,0.03393638693066148
2019Q1,5.368530932626424,0.4749055764128892,0.7398066978981076,-0.07160724818094498,6.5,-0.01163595875647605
2019Q2,5.368530932626424,0.4531661549138212,0.7398066978981076,-0.1819346358104062,6.5,0.12043085037205348
2019Q3,5.368530932626424,0.43605087747356286,0.7398066978981076,-0.19080308787322842,6.0,-0.35358542012486627
2019Q4,4.626124660925873,0.42716913163884535,0.7398066978981076,-0.17849819139539969,4.833333333333333,-0.7812689657340943
2020Q1,3.2232857140974653,0.4297453946921004,0.6962886568452777,-0.13881991742825242,4.166666666666667,-0.04383318153992466
2020Q2,3.002109510711223,0.4399289238216863,0.6962886568452777,-0.27453458095465194,3.0,-0.8637925104235351
2020Q3,1.7090846818182177,0.4628537404237784,0.6962886568452777,-0.27061027705299695,2.083333333333333,-0.5142834687009437
2020Q4,1.116705342581699,0.4964348802083444,0.6962886568452777,-0.11064531757705753,2.0,-0.19878356205826408
2021Q1,1.5969486126096597,0.5384124067593717,0.6527706157924479,-0.0013936205530306937,2.25,-0.5367380146084488
2021Q2,2.0230588074276366,0.5899560827964547,0.6527706157924479,0.10044687049190798,3.5,0.13376762349155236
2021Q3,3.7143533097759067,0.645968670460936,0.6527706157924479,0.21244578856250595,5.25,0.024461615408204018
2021Q4,5.489169376212309,0.7057814577685871,0.6527706157924479,0.38808530409477165,8.25,1.0141932461318843
2022Q1,8.790558768093874,0.7621612543485959,0.609252574739618,0.5220069518248392,10.583333333333334,-0.10064621567359211
2022Q2,10.27846724652585,0.8204485513882761,0.609252574739618,0.6376193060606409,12.583333333333334,0.23754565461895005
2022Q3,11.710694682232404,0.8776439321358515,0.609252574739618,0.5708521082907148,13.583333333333334,-0.18510996406525493
2022Q4,11.877737810408666,0.9354252694380275,0.609252574739618,0.5019922467332384,13.75,-0.1744079013195492
2023Q1,11.466321860029762,0.9931043327517476,0.5657345336867882,0.6583424371894997,13.75,0.06649683634220338
2023Q2,11.356507742094358,1.0487923815125164,0.5657345336867882,0.45671892640223777,13.75,0.32224641630410034
2023Q3,11.356507742094358,1.1006615597277973,0.5657345336867882,0.2622092074392634,13.25,-0.03511304294820583
2023Q4,10.614101470393805,1.150612184255078,0.5657345336867882,0.20063850122963153,12.25,-0.2810866895653028
2024Q1,9.458731280798919,1.199894485658589,0.5222164926339583,0.20443122945204656,11.25,-0.13527348854351295
2024Q2,8.632803445010236,1.2473757786062842,0.5222164926339583,0.17034063455453569,10.583333333333334,0.010596982528319643
2024Q3,8.30181312368859,1.2917907926905412,0.5222164926339583,0.23601144721711276,10.583333333333334,0.23150147710313185
2024Q4,8.741069595430202,1.3313493212135246,0.5222164926339583,0.3779491112637237,11.416666666666666,0.44408214612525576
2025Q1,9.978413381597786,1.3642597036860236,0.5222164926339583,0.7003347785290097,13.583333333333334,1.0181089768865554
2025Q2,12.64643663595649,1.386701126710572,0.5222164926339583,0.552695272055925,14.666666666666666,-0.441382860690279
2025Q3,12.827400024814104,1.407079477433268,0.5222164926339583,0.4240461767825,15.0,-0.18074217166383022
2025Q4,12.608545772701016,1.4238349655682374,0.5222164926339583,0.31973895880435005,15.0,0.125663810292437
2026Q1,12.388917536830208,1.4352991393121952,0.5222164926339583,0.2934312859033304,14.916666666666666,0.27680221198697375
2026Q2,12.265183158213448,1.4408136481494123,0.5222164926339583,0.30718690825900413,14.416666666666666,-0.1187335405891563
2026Q3,11.5776839454806,,0.5222164926339583,0.34805563137962764,14.25,1.8020439305058122
