,pi_L,pi_IPCA,pi_A,pi_e,i_e,meta,pi_star,de_hat,Zel,Yla,selic,i_dif,de,r_focus,rr_trend,hp_ciclo,rp_hat,fpib,fnuci,femp,fcaged
2008Q4,1.1069827321318337,0.9440909383930274,0.6462043811545248,5.256461538461538,13.28496773000912,4.5,-1.918045446015031,30.513511835912375,0.0,-138.51666666666665,13.75,9.74864761904762,31.138511835912375,8.028506191547581,6.95647235966349,1.0720338318840916,0.8379522494520439,-2.051450910443066,1.7263618335771582,1.5995582365165104,0.791884136446015
2009Q1,0.7368151429211434,0.8709649599941471,1.0041666273692185,4.593114754098361,10.508713883372046,4.5,-6.538479273030783,0.8876867380345743,0.0,-142.88333333333333,12.25,8.48273015873016,1.5126867380345743,5.915599129273685,6.77729069764999,-0.8616915683763047,0.897904100362326,-4.533209932369289,-2.7529338028552104,1.102303134777026,-2.1907163875366678
2009Q2,1.4961330284635865,1.3448954535915103,1.091183837635712,4.099016393442623,9.167618406436192,4.5,-5.840414299428689,-11.513251392285653,0.003333333333333334,-71.41,9.916666666666666,7.417742051282051,-10.888251392285653,5.068602012993569,6.602662550709519,-1.5340605377159502,0.01892009132855721,-3.744427121452361,-2.2105816221188377,0.9927658352437483,-2.5334168089327704
2009Q3,1.0861140789065082,1.1403339480609453,1.274756221449147,4.107692307692307,9.085755699468223,4.5,-5.327830274041035,-11.032385578648976,11.216666666666667,-14.563333333333333,8.75,7.179036363636364,-10.407385578648976,4.978063391775915,6.433753668784245,-1.4556902770083298,-1.0369411091402698,-2.4553101210993304,-0.26744476119547755,0.4095882971137872,-2.1086482375828837
2009Q4,0.7730004471371066,0.9052175418465591,1.3704834394454135,4.351904761904762,10.283686927053292,4.5,2.0483090068511154,-7.797346831719755,72.87000000000002,-32.65,8.75,7.3945349206349205,-7.172346831719755,5.9317821651485305,6.270771013980265,-0.3389888488317343,-0.4638625305482107,-0.9096968981569944,1.8583755351581601,0.5354151408469097,-1.7075766069995097
2010Q1,1.907238649605314,1.6619245135427008,0.8954637918567654,4.5167213114754095,11.198638929096395,4.5,5.58095378419128,2.859386643839643,122.47666666666669,-30.886666666666667,8.75,7.325379365079365,3.484386643839643,6.681917617620986,6.113011741980546,0.5689058756404402,-0.8254594167711522,0.15525570548902579,3.2128294954751624,1.1590311971332419,-2.150701175242375
2010Q2,1.2578505102795345,1.0297853207749341,0.5434859634563027,4.75516129032258,11.623206486940012,4.5,-7.083445894382853,-1.0514850122077113,100.05000000000003,-19.84,9.75,8.249155897435898,-0.4264850122077113,6.868045196617431,5.959561140437532,0.9084840561798995,-0.7083637074380109,0.4673633491965461,3.992614336110023,1.3166496893706983,-0.734032502137552
2010Q3,1.1948867930991813,1.0668203486105865,0.7374915538835625,5.006461538461538,11.520888959090192,4.5,3.7857696651407604,-3.0469219900404543,-23.256666666666696,61.71333333333333,10.75,9.345331818181817,-2.4219219900404543,6.514427420628653,5.809860063175942,0.7045673574527109,0.20009695700393304,0.4181858778224523,3.8423390055897357,1.6373293880059991,0.29779539790843046
2010Q4,2.5385934968808366,2.0277167444971322,0.980144781987291,5.255873015873016,11.858267441064429,4.5,14.264297555238887,-3.711684949092844,-122.48000000000002,151.36666666666665,10.75,9.496324242424242,-3.086684949092844,6.602394425191413,5.663917166555617,0.9384772586357961,-0.008766665862196321,0.9630140975550603,3.7497524846706938,1.8520131485841462,0.43898189303376967
2011Q1,1.862281579466618,1.9971420752809,2.2435932691736493,5.4030645161290325,12.250136230156103,4.5,12.087033442532785,-2.3649637230251397,-111.2666666666667,185.49333333333334,11.416666666666666,10.121960937499999,-1.7399637230251397,6.847071714027071,5.522181461534799,1.3248902524922723,0.2729026001288972,1.4612965824420598,3.640351507305354,1.9370552912165833,-0.13523345328621872
